dn,P,u,v,w
7.3592e+05,15.58,0.1386,0.066731,0.011267
7.3592e+05,15.586,0.12683,0.058453,0.012692
7.3592e+05,15.58,0.13252,0.063051,0.01198
7.3592e+05,15.586,0.13925,0.057248,0.014137
7.3592e+05,15.58,0.14278,0.048995,0.014153
7.3592e+05,15.586,0.15054,0.04363,0.013387
7.3592e+05,15.567,0.14572,0.037228,0.012128
7.3592e+05,15.586,0.14991,0.055288,0.013511
7.3592e+05,15.574,0.14058,0.054556,0.010143
7.3592e+05,15.58,0.15693,0.057185,0.0088021
7.3592e+05,15.598,0.14608,0.049306,0.010281
7.3592e+05,15.58,0.14608,0.049306,0.010281
7.3592e+05,15.58,0.15043,0.039218,0.009332
7.3592e+05,15.586,0.15896,0.028805,0.015585
7.3592e+05,15.574,0.14791,0.037084,0.013214
7.3592e+05,15.586,0.13975,0.033586,0.0098554
7.3592e+05,15.592,0.13505,0.027204,0.0056089
7.3592e+05,15.586,0.16572,0.02621,0.010834
7.3592e+05,15.592,0.14971,0.028068,0.010205
7.3592e+05,15.586,0.16281,0.025991,0.0047111
7.3592e+05,15.586,0.16398,0.023233,0.0047417
7.3592e+05,15.604,0.16246,0.021518,0.0066723
7.3592e+05,15.604,0.16943,0.01575,0.002925
7.3592e+05,15.592,0.16988,0.022452,0.0019726
7.3592e+05,15.598,0.1805,0.025865,-0.00058247
7.3592e+05,15.58,0.18968,0.022169,-0.00023125
7.3592e+05,15.586,0.18704,0.015602,-0.00036459
7.3592e+05,15.598,0.18681,0.023195,0.0056629
7.3592e+05,15.592,0.18183,0.01676,0.0084354
7.3592e+05,15.586,0.17672,-0.0017268,0.0071956
7.3592e+05,15.604,0.1834,0.0064101,-0.0015358
7.3592e+05,15.58,0.19471,0.005739,-0.0050796
7.3592e+05,15.598,0.1965,-0.0064932,-0.0010026
7.3592e+05,15.58,0.20603,-0.0057215,-0.0026175
7.3592e+05,15.598,0.20982,-0.014922,0.00055804
7.3592e+05,15.598,0.21087,0.0051761,0.0045852
7.3592e+05,15.598,0.20308,-0.0046581,0.0052681
7.3592e+05,15.592,0.20194,-0.024751,0.0032797
7.3592e+05,15.592,0.22406,-0.030573,0.0022013
7.3592e+05,15.604,0.22001,-0.015986,0.0019758
7.3592e+05,15.598,0.24123,-0.006957,0.0008186
7.3592e+05,15.598,0.22923,-0.0075851,0.0083376
7.3592e+05,15.586,0.21738,-0.010451,0.0088609
7.3592e+05,15.586,0.21765,-0.0059908,0.008865
7.3592e+05,15.604,0.2266,-0.014142,0.0082431
7.3592e+05,15.598,0.20024,-0.011206,0.010167
7.3592e+05,15.598,0.20968,-0.028763,0.016624
7.3592e+05,15.58,0.21988,-0.011499,0.011967
7.3592e+05,15.604,0.21662,-0.0041481,0.014826
7.3592e+05,15.592,0.22796,-0.012434,0.010296
7.3592e+05,15.592,0.23252,-0.010472,0.011478
7.3592e+05,15.586,0.25241,-0.024642,0.019333
7.3592e+05,15.61,0.20761,-0.02865,0.012536
7.3592e+05,15.586,0.23846,-0.032734,0.019808
7.3592e+05,15.598,0.22779,-0.030744,0.020368
7.3592e+05,15.598,0.22126,-0.060773,0.015347
7.3592e+05,15.598,0.22917,-0.033526,0.015435
7.3592e+05,15.592,0.22694,-0.033391,0.015344
7.3592e+05,15.592,0.2359,-0.01784,0.0056288
7.3592e+05,15.604,0.23088,-0.00050196,0.00039297
7.3592e+05,15.58,0.21564,-0.01034,-0.0032201
7.3592e+05,15.586,0.22807,0.0014753,-0.0047255
7.3592e+05,15.586,0.23112,-0.00050249,-0.0056021
7.3592e+05,15.58,0.20999,0.015572,-0.0024356
7.3592e+05,15.586,0.2247,0.0043753,-0.0058618
7.3592e+05,15.58,0.21615,0.011624,-0.0051984
7.3592e+05,15.58,0.22157,0.011748,-0.0059786
7.3592e+05,15.586,0.24119,0.015901,0.0028357
7.3592e+05,15.592,0.24342,0.0049893,0.0089123
7.3592e+05,15.58,0.25261,0.010201,0.022303
7.3592e+05,15.592,0.23714,-0.01344,0.036693
7.3592e+05,15.58,0.22742,-0.018645,0.036313
7.3592e+05,15.574,0.23052,-0.025959,0.037468
7.3592e+05,15.567,0.22859,-0.028963,0.036404
7.3592e+05,15.574,0.23575,-0.019602,0.028647
7.3592e+05,15.586,0.24858,-0.02619,0.023188
7.3592e+05,15.567,0.2247,0.0016024,0.023161
7.3592e+05,15.574,0.23827,-0.0014309,0.015706
7.3592e+05,15.574,0.22319,0.0061981,0.012093
7.3592e+05,15.574,0.2267,0.01314,0.013249
7.3592e+05,15.574,0.22188,0.0013476,0.015039
7.3592e+05,15.574,0.23035,0.0048773,0.010382
7.3592e+05,15.561,0.21048,0.00071197,0.0075692
7.3592e+05,15.555,0.21874,-0.0087446,0.010915
7.3592e+05,15.561,0.20556,-0.001247,0.015376
7.3592e+05,15.567,0.19887,0.016567,0.019134
7.3592e+05,15.543,0.20264,0.013707,0.010271
7.3592e+05,15.561,0.19814,0.0073024,0.0010672
7.3592e+05,15.555,0.17026,0.0085212,0.0049392
7.3592e+05,15.549,0.2058,0.010804,0.016398
7.3592e+05,15.555,0.19358,-0.0063357,0.015892
7.3592e+05,15.555,0.1937,-0.0063397,0.012895
7.3592e+05,15.543,0.17179,-0.00053798,0.0089961
7.3592e+05,15.519,0.18194,0.0091585,0.0054154
7.3592e+05,15.525,0.16388,0.018789,0.00071105
7.3592e+05,15.519,0.16906,0.025266,-0.0070517
7.3592e+05,15.537,0.16329,0.026068,-0.007279
